accurateCrosses,accurateFinalThirdPassesAgainst,accurateLongBalls,accurateOppositionHalfPasses,accurateOppositionHalfPassesAgainst,accurateOwnHalfPasses,accurateOwnHalfPassesAgainst,accuratePasses,accuratePassesAgainst,aerialDuelsWon,assists,averageBallPossession,avgRating,awardedMatches,bigChances,bigChancesAgainst,bigChancesCreated,bigChancesCreatedAgainst,bigChancesMissed,bigChancesMissedAgainst,cleanSheets,clearances,clearancesAgainst,clearancesOffLine,corners,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttempts,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,duelsWon,errorsLeadingToGoal,errorsLeadingToGoalAgainst,errorsLeadingToShot,errorsLeadingToShotAgainst,fastBreakGoals,fastBreakShots,fastBreaks,fouls,freeKickGoals,freeKickShots,goalsConceded,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsScored,groundDuelsWon,headedGoals,hitWoodwork,hitWoodworkAgainst,interceptions,interceptionsAgainst,keyPassesAgainst,lastManTackles,leftFootGoals,longBallsSuccessfulAgainst,longBallsTotalAgainst,matches,offsides,offsidesAgainst,oppositionHalfPassesTotalAgainst,ownGoals,ownHalfPassesTotalAgainst,penaltiesCommited,penaltiesTaken,penaltyGoals,penaltyGoalsConceded,possessionLost,redCards,redCardsAgainst,rightFootGoals,saves,shots,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBox,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBox,shotsFromOutsideTheBoxAgainst,shotsOffTarget,shotsOffTargetAgainst,shotsOnTarget,shotsOnTargetAgainst,successfulDribbles,tackles,tacklesAgainst,totalAerialDuels,totalCrosses,totalDuels,totalFinalThirdPassesAgainst,totalGroundDuels,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalPassesAgainst,yellowCards,yellowCardsAgainst,yellowRedCards,id
1,-268,87,1318,-616,328,-192,1645,-796,-14,9,16,0.31425559222580013,0,9,-9,7,-6,3,-2,0,-66,35,-1,24,-26,-12,-45,-4,-22,-26,-74,-1,-2,-1,0,0,0,1,0,0,6,-7,9,-1,9,-60,0,-1,-3,-16,-1,-26,1,1,-14,52,0,16,-17,-721,1,-165,-1,-1,0,-1,-134,1,-1,7,-7,50,-36,-8,37,-26,13,-10,10,-13,17,-15,-6,-15,-13,-45,35,-147,-336,-102,63,1329,227,1521,-841,-9,-4,0,10012266
14,-218,101,618,-107,-184,241,420,137,24,3,3,0.15152243589749936,0,-5,-3,-1,-2,-5,2,2,-64,69,-2,12,-12,-3,-30,-40,-3,-4,-16,0,1,1,0,-1,-2,-3,-8,1,4,-4,-4,3,0,-40,-1,0,-1,13,-5,-5,2,-1,-55,-35,0,-9,-4,-182,0,235,-1,-3,-1,-1,-37,0,1,1,4,35,-11,-7,13,-21,22,10,11,-1,8,-3,-22,2,-41,16,53,-77,-254,-93,102,696,-242,401,83,-6,-4,0,10012268
-13,-243,-102,-1075,-407,-1163,-595,-2225,-999,-46,-7,-10,-0.0572796934866,0,-23,-2,-14,-2,-14,-3,-3,-42,-63,0,-16,-6,-3,-48,-115,-61,-30,-201,1,-1,-1,-3,0,0,0,-40,0,-3,-2,-9,-1,-12,-155,-4,-3,-1,-42,-36,-22,0,-4,-98,-238,-4,-15,-4,-650,0,-746,0,1,1,0,-561,-1,0,-2,-5,-52,-31,-8,-49,-18,-3,-13,-18,-16,-25,-7,-67,-45,-78,-73,-47,-375,-349,-302,-191,-1389,-1231,-2573,-1348,-7,-5,-1,10157522
-3,289,-5,503,508,359,744,865,1230,-37,6,-5,-0.09965140380630011,0,9,6,10,10,9,3,1,53,6,1,11,34,22,63,40,10,9,33,0,1,0,1,-1,3,3,-5,0,0,8,0,3,5,70,0,5,2,19,0,35,0,1,-21,-14,2,-11,23,528,0,812,0,-1,-1,1,94,1,1,2,6,45,45,14,18,26,27,19,14,15,16,16,21,10,61,-38,-5,100,339,138,-17,509,374,888,1277,4,4,0,10157517
-29,-127,-38,-608,181,-799,687,-1378,865,-36,-2,-5,-0.09363493030650005,0,-5,4,-1,12,-4,-3,-1,77,-37,4,-14,35,3,56,-9,27,34,-89,2,-1,2,0,-1,-5,-6,75,1,0,10,-3,-1,-2,-53,1,4,-1,4,32,1,0,5,154,61,0,-19,3,265,1,627,-1,-2,-3,-2,-53,-2,-1,-10,-8,-30,-10,-22,-8,-16,-22,6,-22,6,-6,6,-31,0,-1,-31,-93,17,-86,48,45,-643,-854,-1404,836,21,-9,-1,10160954
-30,111,-37,-69,199,388,375,349,558,-53,-8,-3,-0.12868967452300062,0,-8,1,-8,-1,-3,-2,1,2,-67,0,-11,11,16,41,27,18,10,-9,0,1,0,-2,-1,-3,-4,-6,-1,-4,2,-6,-2,-9,44,-2,-2,2,-2,10,-7,0,-1,19,-7,0,4,-6,255,0,360,1,1,0,1,36,0,0,-4,-2,-6,-7,3,-14,-5,8,-2,-7,-11,0,1,12,24,12,-87,-92,-22,144,65,-15,-123,444,374,574,0,5,0,10103402
-21,-289,-43,-1024,-788,-733,-993,-1736,-1767,-40,-7,7,-0.07766853932580009,0,-15,-1,-11,-3,-10,-3,-4,-32,-105,0,-31,-6,-14,-45,-80,-69,-45,-183,0,-2,0,1,0,0,1,-28,0,-2,-1,-8,0,-8,-143,-3,-2,0,-36,-35,-40,0,-4,-97,-182,-4,-16,-3,-1015,-1,-1084,1,0,0,1,-535,1,0,-1,-7,-41,-48,-13,-37,-23,-4,-25,-13,-28,-18,-7,-56,-64,-59,-85,-98,-357,-380,-272,-114,-1338,-820,-2060,-2054,0,-6,1,10157521
-12,-410,-92,-797,-752,-1059,-973,-1844,-1713,-11,-7,6,-0.07747252747249966,0,-18,-11,-13,-5,-12,-6,-1,-57,-66,0,-25,-23,-12,-65,-65,-67,-43,-133,-1,0,1,-2,-2,-3,-5,-50,0,2,-4,-8,-1,-9,-122,0,-3,-1,-34,-35,-39,0,-2,-57,-108,-4,-9,-3,-998,0,-1063,-2,-1,-1,-2,-455,-1,-1,-7,-20,-77,-61,-18,-55,-35,-22,-26,-23,-19,-40,-24,-46,-65,-39,-38,-70,-287,-546,-249,-142,-1032,-1158,-2120,-1996,-9,-4,0,10157525
-10,-375,-92,-28,-985,-672,-869,-690,-1830,-52,-2,17,-0.05988372093020011,0,-5,-5,-5,-3,-4,-4,-4,-97,-35,-1,-12,-24,-24,-94,-42,-75,-36,-223,1,-1,0,0,0,0,0,-43,0,1,0,0,0,-2,-171,0,-5,-3,-52,-40,-44,-1,1,-99,-166,-4,-8,-7,-1316,0,-917,0,1,1,1,-498,0,0,-1,-15,-17,-65,-15,-11,-34,-6,-31,-9,-34,-4,-16,-24,-90,-57,-103,-23,-412,-551,-309,-165,-273,-780,-1030,-2139,-16,-12,0,10157528
12,266,72,617,473,867,720,1472,1187,-23,3,5,0.03170062695929943,0,13,15,11,12,7,15,0,10,38,1,1,4,6,28,89,79,28,101,-1,2,2,1,0,5,5,-8,0,1,5,5,0,6,124,1,3,-4,21,62,-14,0,0,51,91,2,-2,8,644,2,797,-1,0,0,-1,316,-1,-1,4,-1,17,-14,-12,28,9,-11,-23,-2,-5,14,3,45,75,53,-22,31,178,381,200,131,706,964,1639,1413,-6,2,0,10157518
19,-84,82,930,-187,582,374,1493,184,38,5,8,0.049664192294099685,0,5,5,1,-3,2,-2,0,20,87,0,32,7,3,15,9,-2,-10,97,1,3,0,0,1,3,4,19,0,2,7,4,3,7,59,-3,6,0,-15,56,-18,0,3,84,255,2,-1,11,-21,0,452,4,3,2,4,326,-1,1,7,3,93,-20,-18,55,-12,38,-8,50,-12,21,10,9,20,36,123,71,223,-3,100,140,1154,627,1710,416,1,15,0,10157516
7,307,20,295,664,-9,340,279,1000,74,0,-6,0.020526619258100176,0,-2,2,2,3,2,1,2,50,49,1,1,7,4,27,-5,39,19,110,-3,-1,-1,1,0,2,2,26,0,0,-1,-2,0,-2,36,1,1,0,39,11,24,0,-1,68,210,2,6,0,932,0,449,1,0,0,1,501,0,-2,-2,8,-3,35,14,-12,11,9,24,12,14,-12,8,-16,34,2,166,34,242,452,76,73,572,92,630,1357,5,-9,1,10157540
-12,94,20,179,245,744,424,935,657,12,3,-1,-0.14114774114780015,0,0,10,-1,9,-5,7,-1,21,14,0,13,15,12,31,34,21,25,80,-1,0,0,0,1,1,2,27,0,4,4,4,1,4,68,3,1,2,20,-31,24,-1,2,42,113,2,11,1,407,0,450,0,0,0,0,227,1,1,0,7,16,24,7,9,17,7,7,1,6,2,11,17,1,19,46,5,180,180,134,87,284,796,1075,826,14,6,0,10157545
20,76,118,176,137,1001,-127,1157,2,15,-1,10,-0.17484614031999968,0,-7,8,-6,5,-9,2,-4,12,36,1,19,10,8,27,45,-50,-12,68,0,4,1,0,0,-2,-2,14,0,-3,10,2,0,2,53,0,0,-2,24,14,23,0,0,-44,-20,2,2,2,262,0,-224,0,-1,0,0,152,0,2,2,-4,-3,27,13,-1,18,-2,9,-7,7,1,7,24,-27,42,56,55,158,214,102,138,177,1082,1204,11,11,17,0,10157541
21,45,38,262,274,51,2,292,267,56,-5,0,0.08655357485150006,0,-4,7,-5,3,2,7,1,11,75,1,13,-4,9,22,31,36,6,180,0,2,1,-1,-1,-2,-3,41,0,3,0,-4,1,-3,124,0,1,4,29,43,9,0,1,14,118,2,12,12,466,1,160,1,-1,0,1,510,2,2,-4,2,59,18,0,30,26,29,-8,34,17,16,1,19,64,25,119,86,314,136,195,95,614,111,639,604,12,18,1,10157538
0,358,47,-148,783,-163,896,-311,1659,-18,11,-15,0.07871198568869975,0,7,7,11,6,0,5,-1,62,30,0,25,35,20,58,70,21,2,60,0,1,1,-1,1,4,5,-5,0,0,3,7,3,11,78,1,-1,-2,7,37,28,0,2,108,171,2,-9,-3,902,0,940,0,0,0,0,246,0,0,7,8,22,38,20,13,29,9,9,1,7,7,11,30,22,55,-33,30,96,444,129,21,-59,-108,-197,1784,2,0,0,10157536
-34,-159,-99,-696,-426,-408,-703,-1070,-1107,-45,-2,6,0.07948051948049972,0,-5,-2,0,-2,-1,-1,-1,-40,-58,1,-16,-8,-22,-52,-58,-31,-23,-153,1,-1,-1,-1,0,-1,-1,-53,1,1,-5,-4,1,-3,-108,-1,-2,0,-19,-36,-29,0,-2,-78,-169,-3,-1,-5,-589,-1,-774,0,-2,-2,0,-356,-1,0,0,-10,-70,-38,-4,-38,-25,-32,-13,-37,-21,-10,-13,-44,-26,-47,-82,-91,-309,-236,-227,-146,-914,-457,-1280,-1311,-10,-9,-1,10157546
-15,-226,-93,-1025,-441,-797,-379,-1807,-803,-77,-5,-12,0.1361290322580997,0,-8,-12,-3,-7,-3,-8,-1,-48,-116,-3,-32,-13,-17,-43,-111,-83,-50,-232,-1,1,-1,0,-1,-1,-2,-58,0,1,-5,-8,0,-8,-155,-3,-5,1,-40,-53,-33,0,-2,-88,-246,-4,-10,-4,-787,0,-492,-2,-2,-2,-2,-678,0,-1,-2,-15,-65,-50,-7,-39,-31,-26,-19,-28,-20,-25,-23,-69,-55,-73,-152,-94,-486,-400,-334,-188,-1381,-922,-2209,-1236,-4,-9,0,10157531
-17,-336,-87,-672,-699,-844,-639,-1499,-1324,-80,-7,2,0.03966547192360004,0,-15,-9,-9,-8,-6,-7,-1,-58,-59,-2,-12,-22,-14,-51,-28,-59,-31,-177,0,-2,0,0,0,-2,-2,-56,0,0,-4,-10,-2,-13,-97,-3,-6,1,-32,-42,-40,0,-4,-90,-249,-4,-4,-14,-982,0,-770,0,-2,-2,0,-533,-1,-1,-5,-4,-60,-52,-16,-40,-29,-20,-23,-20,-26,-26,-10,-11,-52,-19,-148,-51,-345,-488,-197,-169,-1018,-929,-1896,-1701,-11,-13,0,10157537
-6,1263,-89,-3440,2374,-1441,1058,-4875,3402,-13,-25,-16,-0.3740867848600997,0,-43,37,-35,27,-20,12,-8,120,-81,2,-40,63,30,166,-24,89,58,12,-2,-1,1,6,1,-6,-5,-14,-1,-6,40,-32,-6,-37,25,-6,-5,4,22,-35,154,1,-14,196,139,1,-7,-12,2616,1,1051,6,-5,-5,4,203,0,0,-18,29,-110,190,56,-95,133,-15,57,-25,64,-58,70,-39,27,-27,92,-72,133,1339,41,50,-3307,-1410,-4645,3501,3,-10,1,9576461
-11,-575,-57,1443,-1760,673,-209,2127,-1979,25,4,9,0.08685148577740076,0,17,-2,13,5,13,-1,3,19,71,0,44,15,10,47,28,-34,-6,48,-4,0,-2,7,0,-6,-5,47,-1,5,-5,5,-1,4,23,0,1,1,63,54,-48,0,1,60,186,1,-7,10,-1563,-1,42,-4,2,2,-3,511,0,-1,3,7,41,-57,-38,28,-22,13,-35,4,-24,30,5,27,-17,19,108,45,195,-571,87,-31,1785,722,2462,-1568,-13,-3,0,10144889
-10,-28,150,1271,-287,1525,-441,2806,-700,-172,-9,7,0.18677407212219954,0,0,-17,-7,-18,3,-6,6,-42,15,-2,4,4,-28,-11,31,47,32,-70,-1,0,3,-2,-2,-5,-7,-68,1,-5,-27,-10,6,-3,102,-5,3,-7,-6,34,-41,0,2,-168,-355,0,17,8,-385,-1,-644,1,-1,0,2,-296,-1,1,-1,18,-17,-45,-16,-14,-25,-3,-20,-9,-21,-11,-8,49,58,-48,-348,-34,-323,-67,25,184,897,1738,2669,-1018,-2,15,-1,10144893
-8,-293,102,261,-746,1476,-1101,1745,-1835,-90,-10,9,-0.10509863776849926,0,5,20,-1,19,4,3,-5,-17,-9,1,-4,-25,-12,-87,78,102,53,-81,0,2,2,7,-3,3,0,46,1,-3,24,-7,1,-8,9,-2,11,2,52,39,65,0,8,-135,-57,1,16,6,-631,0,-1104,0,2,2,2,455,-1,1,-12,35,72,82,15,31,42,41,40,31,8,18,59,16,80,46,-63,33,92,-127,155,183,393,1734,2094,-1648,19,-8,-1,10144887
-28,-293,21,706,-905,-512,-121,222,-1051,-16,0,4,0.00297003065160073,0,15,3,8,-3,7,3,1,-17,23,0,-4,-10,25,14,51,89,44,120,-1,-4,-1,1,1,2,3,36,1,-1,-6,9,0,8,136,-4,-1,-6,-50,-1,-4,-1,0,-45,-38,0,22,0,-1097,-3,-99,1,3,4,-1,43,5,5,12,-8,-10,-11,8,4,10,-14,-21,-19,-8,8,-11,37,85,46,-42,-27,220,-488,262,-70,660,-581,106,-1210,7,-6,2,10089497
-14,286,-136,-209,394,-420,-31,-615,329,-89,6,-3,-0.02944440236319945,0,5,-11,-6,-9,-1,-7,-4,48,12,-1,-3,11,34,67,37,117,42,28,0,2,-2,1,1,6,7,-50,0,4,8,10,3,14,117,4,-9,-8,-25,46,44,0,7,-3,-48,0,3,-3,336,3,5,0,5,3,1,54,4,0,2,2,56,65,14,40,44,16,21,18,43,28,8,31,60,9,-149,-55,-35,247,114,-159,-209,-425,-579,274,5,16,2,10089498
3,-74,17,166,-106,175,65,338,-35,-20,0,10,-0.0008928571429001053,0,1,-1,0,0,2,0,0,-11,17,0,4,-14,-6,-18,-8,0,-9,-23,0,1,1,0,0,0,0,-5,1,1,0,-1,2,1,-3,1,0,-1,-15,-4,-16,0,0,-25,-53,0,2,-2,-166,0,81,0,0,0,0,-24,0,0,0,-9,17,-25,-10,9,-14,8,-11,10,-6,1,-9,-12,20,-12,-34,12,-63,-104,-29,13,193,146,327,-67,-4,-1,0,10157753
-11,-25,-87,-353,53,-155,336,-497,380,-26,1,-4,-0.03503209318919964,0,7,-12,4,-8,4,-10,-2,-21,-19,0,-9,2,9,-9,7,37,24,4,0,-3,1,-1,0,-3,-3,40,-1,-5,1,3,1,5,30,-3,1,8,60,-3,-2,0,-2,65,154,0,15,-6,48,1,472,-1,2,1,0,115,1,1,9,-9,-8,9,4,-16,11,8,-2,-6,13,10,-8,-14,55,1,-59,19,36,-46,95,-14,-295,-145,-459,529,6,-3,0,10181836
9,-1059,176,2252,-1813,1747,209,3990,-1553,-49,21,12,0.15789885297189965,0,41,-34,33,-24,17,-22,0,-127,81,-2,34,-32,-51,-149,82,-65,-49,36,0,3,2,-2,5,9,13,-17,0,-4,-4,22,3,27,85,4,-1,-8,-43,61,-111,0,6,-43,32,0,23,-23,-2058,2,232,-3,-3,-2,-3,-265,2,1,15,-46,77,-132,-18,71,-93,6,-39,25,-61,46,-53,75,-33,51,-227,-67,-156,-1235,71,13,2084,1674,3825,-1677,1,1,0,9603129
-2,129,4,228,120,391,188,621,320,34,6,0,0.09258012820510064,0,26,-41,17,-36,15,-29,3,79,-67,-1,-2,7,-12,79,-81,-15,-39,-65,0,-1,-2,-4,-1,1,0,-13,-1,-3,-15,9,-2,9,-99,1,-9,-2,-74,23,-9,0,4,4,12,0,22,-32,146,-1,79,-1,2,1,-1,-321,-1,6,3,1,-12,10,13,20,-25,-32,35,-9,12,2,-15,-53,-41,-65,-63,-145,-274,-17,-211,-27,122,301,568,146,13,11,2,9594674
13,-881,162,2937,-1811,1942,-1628,4866,-3391,-15,33,19,0.2728679322909997,0,55,-23,47,-13,28,-12,6,-201,68,-1,22,-57,-48,-211,232,-37,-54,134,-2,0,3,-3,4,0,4,-31,0,0,-20,33,5,38,149,3,11,-3,-41,47,-71,-1,9,-213,-246,0,11,13,-2233,-1,-1516,-8,1,1,-7,-74,-3,2,26,-13,33,-100,-24,58,-79,-25,-21,-11,-43,65,-33,141,5,137,-139,11,80,-1138,219,-13,2909,1755,4653,-3538,-19,-1,0,9620008
